game_date,location,attendance,inning,inning_top_bot,score,batting,fielding,description,game_pbp_url,game_pbp_id
02/15/2024,"San Diego, CA",,8,bot,3-4,Opponent,USD,Rogers walked.,https://stats.ncaa.org/game/play_by_play/12345,12345
02/15/2024,"San Diego, CA",,8,bot,3-4,Opponent,USD,Reed struck out swinging.,https://stats.ncaa.org/game/play_by_play/12345,12345
02/15/2024,"San Diego, CA",,9,top,4-4,USD,Opponent,Cook singled to center.,https://stats.ncaa.org/game/play_by_play/12345,12345
02/15/2024,"San Diego, CA",,9,top,4-4,USD,Opponent,Morgan flied out to right.,https://stats.ncaa.org/game/play_by_play/12345,12345
02/15/2024,"San Diego, CA",,9,top,4-4,USD,Opponent,Bell grounded out to first.,https://stats.ncaa.org/game/play_by_play/12345,12345
02/15/2024,"San Diego, CA",,9,top,4-4,USD,Opponent,Brooks doubled to left.,https://stats.ncaa.org/game/play_by_play/12345,12345
02/15/2024,"San Diego, CA",,9,top,4-4,USD,Opponent,Ward popped out to third.,https://stats.ncaa.org/game/play_by_play/12345,12345
02/15/2024,"San Diego, CA",,1,bot,4-5,Opponent,USD,Russell struck out looking.,https://stats.ncaa.org/game/play_by_play/12345,12345
02/15/2024,"San Diego, CA",,1,bot,4-5,Opponent,USD,Diaz singled to left.,https://stats.ncaa.org/game/play_by_play/12345,12345
02/15/2024,"San Diego, CA",,1,bot,4-5,Opponent,USD,Myers flied out to center.,https://stats.ncaa.org/game/play_by_play/12345,12345
02/15/2024,"San Diego, CA",,1,bot,4-5,Opponent,USD,Foster grounded out to short.,https://stats.ncaa.org/game/play_by_play/12345,12345
02/15/2024,"San Diego, CA",,1,bot,4-5,Opponent,USD,Smith singled to center.,https://stats.ncaa.org/game/play_by_play/12345,12345
