game_date,location,attendance,inning,inning_top_bot,score,batting,fielding,description,game_pbp_url,game_pbp_id
02/17/2026,"Blair Field (Long Beach, CA)",1110,5,bot,0-2,Home,Away,"Mestas,Gage popped up to 1b (0-1 F).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,6,top,0-2,Away,Home,"Howard,Aden struck out swinging (2-2 BBKKS).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,6,top,0-2,Away,Home,"Moran,CJ flied out to shallow center field putout by cf (1-1 BF).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,6,top,0-2,Away,Home,"Lina,Dylan flied out to lf (2-1 KBB).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,6,bot,0-2,Home,Away,"Toomey,Matt singled to right center (0-0).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,6,bot,0-2,Home,Away,"Toomey,Matt advanced to second base on a throwing error by Rovin,Porter (E1).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,6,bot,0-2,Home,Away,"Enright,Trotter flied out to cf (1-0 B).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,6,bot,0-2,Home,Away,"Chandler,Smith flied out to rf (3-2 BBBKF).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,6,bot,0-2,Home,Away,"LBST pitching change: Iglesias,Joey replaces Gebb,Tyler.",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,6,bot,0-2,Home,Away,"Springer,Gabe grounded out, 2b to 1b (0-1 K).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,7,top,1-2,Away,Home,"Lobliner,Jayden homered to deep center field, RBI (0-1 K).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,7,top,1-2,Away,Home,"Meidroth,Connor struck out swinging (2-2 BKBFFFS).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,7,top,1-2,Away,Home,"LBST pitching change: Banda,Cristien replaces Iglesias,Joey.",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,7,top,1-2,Away,Home,"Greer,Jayton flied out to left center putout by lf (2-2 BKKB).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,7,top,1-2,Away,Home,"Perez,Aaron flied out to cf (0-0).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,7,bot,1-2,Home,Away,"Evans,Jake lined out to 3b (2-0 BB).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,7,bot,1-2,Home,Away,"Valdez,Damon walked (3-2 BBKBFB).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,7,bot,1-2,Home,Away,"USD pitching change: Cody,Hayden replaces Rovin,Porter.",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,7,bot,1-2,Home,Away,"Goldenetz,Trevor popped up to 2b (0-1 K).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,7,bot,1-2,Home,Away,"LBST pitching change: Tymick,Mason replaces Banda,Cristien.",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,7,bot,1-2,Home,Away,"Gauna,Andrew walked (3-2 BKFBBB).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,7,bot,1-2,Home,Away,"Kern,Tanner walked (3-1 BBBKB)3a Gauna,Andrew advanced to second base on the throw.",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,7,bot,1-2,Home,Away,"LBST pitching change: Shelby,Hogan replaces Tymick,Mason.",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,7,bot,1-2,Home,Away,"USD substitution: Martinez,Cade pinch hitting for Mestas,Gage.",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,7,bot,1-2,Home,Away,"Martinez,Cade sacrifice bunt, c to 1b (0-0)3a Gauna,Andrew advanced to third base3a Kern,Tanner advanced to second base.",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,8,top,3-2,Away,Home,"Howard,Aden doubled, 2RBI (0-0)3a Gauna,Andrew scored3a Kern,Tanner scored from second base.",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,8,top,3-2,Away,Home,"Moran,CJ sacrifice bunt, c to 2b (0-0)3a Howard,Aden advanced to third base.",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,8,top,3-2,Away,Home,"Springer,Gabe flied out to ss (3-2 BSBSB).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,8,top,3-2,Away,Home,"Gasser,Camden struck out swinging (2-2 BBKKS).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,8,bot,3-2,Home,Away,"Lina,Dylan flied out to ss (1-1 BS).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,8,bot,3-2,Home,Away,"Toomey,Matt doubled to deep center field (0-0).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,8,bot,3-2,Home,Away,"Enright,Trotter lined out to rf (0-2 FF).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,8,bot,3-2,Home,Away,"Lobliner,Jayden singled (2-2 BKBS).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,8,bot,3-2,Home,Away,"Meidroth,Connor grounded into double play, 3b to ss to 1b (1-0 B)3a Lobliner,Jayden out at 1B on the play, 3b to ss, in a double play.",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,9,top,3-2,Away,Home,"Greer,Jayton fouled out to 3b (3-2 BBBKK).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,9,top,3-2,Away,Home,"Montgomery,Reid doubled to deep right field (0-0).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,9,top,3-2,Away,Home,"LBST substitution: Tomlin,Taylor pinch running for Montgomery,Reid.",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,9,top,3-2,Away,Home,"USD pitching change: Deschryver,Nate replaces Cody,Hayden.",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,9,top,3-2,Away,Home,"Perez,Aaron sacrifice bunt, p to 2b (0-0)3a Tomlin,Taylor advanced to third base.",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,9,top,3-3,Away,Home,"Evans,Jake sacrifice fly to cf, RBI (1-0 B)3a Tomlin,Taylor scored.",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,9,bot,3-3,Home,Away,"Valdez,Damon struck out swinging (3-2 KBBBSFS).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,9,bot,3-3,Home,Away,"Gauna,Andrew grounded out, 3b to 1b (0-1 K).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,9,bot,3-3,Home,Away,"Kern,Tanner walked (3-2 KSBBBB).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,9,bot,3-3,Home,Away,"Martinez,Cade walked (3-1 KBBBB)3a Kern,Tanner advanced to second base.",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,9,bot,3-3,Home,Away,"USD substitution: Gonzalez,Diego pinch running for Kern,Tanner.",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,9,bot,3-3,Home,Away,"Howard,Aden reached on a fielder's choice (0-2 SF)3a Gonzalez,Diego advanced to third base3a Martinez,Cade out at second base, 2b to ss.",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,9,bot,3-3,Home,Away,"Howard,Aden stole second base.",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,9,bot,3-3,Home,Away,"Moran,CJ flied out to cf (2-1 KBB).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,10,top,3-3,Away,Home,"Goldenetz,Trevor walked (3-1 KBBBB).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,10,top,3-3,Away,Home,"Gasser,Camden fouled out to 1b (0-1 K).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,10,top,3-3,Away,Home,"Lina,Dylan hit by pitch (2-2 BKKFBB)3a Goldenetz,Trevor advanced to second base.",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,10,top,3-3,Away,Home,"Toomey,Matt flied out to lf (2-2 FSFFFFFBFBFF).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,10,top,3-3,Away,Home,"Enright,Trotter walked (3-0 BBBB)3a Goldenetz,Trevor advanced to third base3a Lina,Dylan advanced to second base.",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,10,top,3-3,Away,Home,"LBST substitution: Smaka,Kaiden pinch hitting for Tomlin,Taylor.",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,10,top,3-3,Away,Home,"Smaka,Kaiden popped up to ss (0-0).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,10,bot,3-3,Home,Away,"LBST pitching change: Kahalekai,Kaimi replaces Shelby,Hogan.",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,10,bot,3-3,Home,Away,"Springer,Gabe hit by pitch (2-2 KBFBB).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,10,bot,3-3,Home,Away,"Lobliner,Jayden struck out swinging (1-2 KFBS).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,10,bot,3-3,Home,Away,"Meidroth,Connor singled down the left field line (1-1 BS)3a Springer,Gabe advanced from first base to third base.",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,10,bot,3-3,Home,Away,"Meidroth,Connor stole second base.",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,10,bot,3-3,Home,Away,"Greer,Jayton struck out swinging (1-2 FBSS).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,10,bot,5-3,Home,Away,"Gauna,Andrew reached on an error by Enright,Trotter (E6) (0-0)3a Springer,Gabe scored, unearned3a Meidroth,Connor scored from second base, unearned.",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,10,bot,5-3,Home,Away,"Gonzalez,Diego walked (3-0 BBBB)3a Gauna,Andrew advanced to second base.",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,10,bot,6-3,Home,Away,"Martinez,Cade reached on an error by Goldenetz,Trevor (E8) (2-2 BKKFFB)3a Gauna,Andrew scored from second base, unearned3a Gonzalez,Diego advanced from first base to third base3a Martinez,Cade advanced to second base.",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,10,bot,6-3,Home,Away,"Howard,Aden grounded out, 2b to 1b (2-1 FBB).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,11,top,6-3,Away,Home,"USD pitching change: Sebek,Caleb replaces Deschryver,Nate.",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,11,top,6-3,Away,Home,"Perez,Aaron flied out to ss (1-0 B).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,11,top,6-3,Away,Home,"Evans,Jake reached on a fielding error fielding by ss by Springer,Gabe (E6) (1-1 BS).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,11,top,6-3,Away,Home,"Valdez,Damon grounded out, ss to 1b (3-2 KSBFBB)3a Evans,Jake advanced to second base.",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,11,top,6-3,Away,Home,"Goldenetz,Trevor walked (3-2 BKKBBB).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,11,top,6-3,Away,Home,"Gasser,Camden flied out to lf (1-1 KB).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
